well,chem,year,value_ugL,detect
9205,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
9210,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
10205,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
3257,"1,2-Dichlorobenzene",2018,9.4,nondetect
5221,"1,2-Dichlorobenzene",2018,9.4,nondetect
6209,"1,2-Dichlorobenzene",2018,9.4,nondetect
6209,"1,2-Dichlorobenzene",2018,9.4,nondetect
7205,"1,2-Dichlorobenzene",2018,9.4,nondetect
8210,"1,2-Dichlorobenzene",2018,9.4,nondetect
9205,"1,2-Dichlorobenzene",2018,9.4,nondetect
9210,"1,2-Dichlorobenzene",2018,9.4,nondetect
10205,"1,2-Dichlorobenzene",2018,9.4,nondetect
3257,"1,4-Dichlorobenzene",2018,9.4,nondetect
5221,"1,4-Dichlorobenzene",2018,9.4,nondetect
6209,"1,4-Dichlorobenzene",2018,9.4,nondetect
6209,"1,4-Dichlorobenzene",2018,9.4,nondetect
7205,"1,4-Dichlorobenzene",2018,9.4,nondetect
8210,"1,4-Dichlorobenzene",2018,9.4,nondetect
9205,"1,4-Dichlorobenzene",2018,9.4,nondetect
9210,"1,4-Dichlorobenzene",2018,9.4,nondetect
10205,"1,4-Dichlorobenzene",2018,9.4,nondetect
10205,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
10210A,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
10210B,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
10210C,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
10215,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
10225A,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
10225B,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
10225C,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
10270,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
10205,Benzene,2018,5.0,nondetect
10210A,Benzene,2018,5.0,nondetect
10210B,Benzene,2018,5.0,nondetect
10210C,Benzene,2018,5.0,nondetect
10215,Benzene,2018,5.0,nondetect
10225A,Benzene,2018,5.0,nondetect
10225B,Benzene,2018,5.0,nondetect
10225C,Benzene,2018,5.0,nondetect
10270,Benzene,2018,5.0,nondetect
10205,Chlorobenzene,2018,5.0,nondetect
10210A,Chlorobenzene,2018,5.0,nondetect
10210B,Chlorobenzene,2018,5.0,nondetect
10210C,Chlorobenzene,2018,5.0,nondetect
10215,Chlorobenzene,2018,5.0,nondetect
10225A,Chlorobenzene,2018,5.0,nondetect
10225B,Chlorobenzene,2018,5.0,nondetect
10225C,Chlorobenzene,2018,1.1,detect
10270,Chlorobenzene,2018,5.0,nondetect
10205,Ethylbenzene,2018,0.35,detect
10210A,Ethylbenzene,2018,5.0,nondetect
10210B,Ethylbenzene,2018,5.0,nondetect
10210C,Ethylbenzene,2018,5.0,nondetect
10215,Ethylbenzene,2018,0.43,detect
10225A,Ethylbenzene,2018,5.0,nondetect
10225B,Ethylbenzene,2018,5.0,nondetect
10225C,Ethylbenzene,2018,5.0,nondetect
10270,Ethylbenzene,2018,5.0,nondetect
10205,Tetrachloroethene (PCE),2018,5.0,nondetect
10210A,Tetrachloroethene (PCE),2018,5.0,nondetect
10210B,Tetrachloroethene (PCE),2018,5.0,nondetect
10210C,Tetrachloroethene (PCE),2018,5.0,nondetect
10215,Tetrachloroethene (PCE),2018,5.0,nondetect
10225A,Tetrachloroethene (PCE),2018,5.0,nondetect
10225B,Tetrachloroethene (PCE),2018,5.0,nondetect
10225C,Tetrachloroethene (PCE),2018,5.0,nondetect
10270,Tetrachloroethene (PCE),2018,5.0,nondetect
10205,Toluene,2018,5.0,nondetect
10210A,Toluene,2018,5.0,nondetect
10210B,Toluene,2018,5.0,nondetect
10210C,Toluene,2018,5.0,nondetect
10215,Toluene,2018,0.27,detect
10225A,Toluene,2018,0.29,detect
10225B,Toluene,2018,0.33,detect
10225C,Toluene,2018,5.0,nondetect
10270,Toluene,2018,5.0,nondetect
10205,Trichloroethene (TCE),2018,5.0,nondetect
10210A,Trichloroethene (TCE),2018,5.0,nondetect
10210B,Trichloroethene (TCE),2018,5.0,nondetect
10210C,Trichloroethene (TCE),2018,5.0,nondetect
10215,Trichloroethene (TCE),2018,5.0,nondetect
10225A,Trichloroethene (TCE),2018,5.0,nondetect
10225B,Trichloroethene (TCE),2018,5.0,nondetect
10225C,Trichloroethene (TCE),2018,8.0,detect
10270,Trichloroethene (TCE),2018,5.0,nondetect
10205,Vinyl chloride,2018,5.0,nondetect
10210A,Vinyl chloride,2018,5.0,nondetect
10210B,Vinyl chloride,2018,5.0,nondetect
10210C,Vinyl chloride,2018,5.0,nondetect
10215,Vinyl chloride,2018,5.0,nondetect
10225A,Vinyl chloride,2018,5.0,nondetect
10225B,Vinyl chloride,2018,5.0,nondetect
10225C,Vinyl chloride,2018,5.0,nondetect
10270,Vinyl chloride,2018,5.0,nondetect
10205,Xylene,2018,5.0,nondetect
10210A,Xylene,2018,5.0,nondetect
10210B,Xylene,2018,5.0,nondetect
10210C,Xylene,2018,5.0,nondetect
10215,Xylene,2018,5.0,nondetect
10225A,Xylene,2018,5.0,nondetect
10225B,Xylene,2018,5.0,nondetect
10225C,Xylene,2018,5.0,nondetect
10270,Xylene,2018,5.0,nondetect
10205,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
10210A,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
10210B,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
10210C,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
10215,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
10225A,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
10225B,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
10225C,"1,2,4-Trichlorobenzene",2018,7.7,detect
10270,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
10205,"1,2-Dichlorobenzene",2018,9.4,nondetect
10210A,"1,2-Dichlorobenzene",2018,9.4,nondetect
10210B,"1,2-Dichlorobenzene",2018,9.4,nondetect
10210C,"1,2-Dichlorobenzene",2018,9.4,nondetect
10215,"1,2-Dichlorobenzene",2018,9.4,nondetect
10225A,"1,2-Dichlorobenzene",2018,9.4,nondetect
10225B,"1,2-Dichlorobenzene",2018,9.4,nondetect
10225C,"1,2-Dichlorobenzene",2018,9.4,nondetect
10270,"1,2-Dichlorobenzene",2018,9.4,nondetect
10205,"1,4-Dichlorobenzene",2018,9.4,nondetect
10210A,"1,4-Dichlorobenzene",2018,9.4,nondetect
10210B,"1,4-Dichlorobenzene",2018,9.4,nondetect
10210C,"1,4-Dichlorobenzene",2018,9.4,nondetect
10215,"1,4-Dichlorobenzene",2018,9.4,nondetect
10225A,"1,4-Dichlorobenzene",2018,9.4,nondetect
10225B,"1,4-Dichlorobenzene",2018,9.4,nondetect
10225C,"1,4-Dichlorobenzene",2018,9.4,nondetect
10270,"1,4-Dichlorobenzene",2018,9.4,nondetect
10272,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
10278,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
MW-01,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
MW-02,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
10272,Benzene,2018,5.0,nondetect
10278,Benzene,2018,5.0,nondetect
MW-01,Benzene,2018,5.0,nondetect
MW-02,Benzene,2018,5.0,nondetect
10272,Chlorobenzene,2018,5.0,nondetect
10278,Chlorobenzene,2018,5.0,nondetect
MW-01,Chlorobenzene,2018,5.0,nondetect
MW-02,Chlorobenzene,2018,5.0,nondetect
10272,Ethylbenzene,2018,5.0,nondetect
10278,Ethylbenzene,2018,5.0,nondetect
MW-01,Ethylbenzene,2018,5.0,nondetect
MW-02,Ethylbenzene,2018,5.0,nondetect
10272,Tetrachloroethene (PCE),2018,5.0,nondetect
10278,Tetrachloroethene (PCE),2018,5.0,nondetect
MW-01,Tetrachloroethene (PCE),2018,5.0,nondetect
MW-02,Tetrachloroethene (PCE),2018,5.0,nondetect
10272,Toluene,2018,5.0,nondetect
10278,Toluene,2018,5.0,nondetect
MW-01,Toluene,2018,5.0,nondetect
MW-02,Toluene,2018,5.0,nondetect
10272,Trichloroethene (TCE),2018,5.0,nondetect
10278,Trichloroethene (TCE),2018,5.0,nondetect
MW-01,Trichloroethene (TCE),2018,5.0,nondetect
MW-02,Trichloroethene (TCE),2018,5.0,nondetect
10272,Vinyl chloride,2018,5.0,nondetect
10278,Vinyl chloride,2018,5.0,nondetect
MW-01,Vinyl chloride,2018,5.0,nondetect
MW-02,Vinyl chloride,2018,5.0,nondetect
10272,Xylene,2018,5.0,nondetect
10278,Xylene,2018,5.0,nondetect
